Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.00,-0.123,0.456,9.812
0.01,-0.145,0.434,9.798
0.02,-0.167,0.412,9.823
0.03,-0.189,0.390,9.801
0.04,-0.211,0.368,9.815
0.05,-0.234,0.346,9.789
0.06,-0.256,0.324,9.807
0.07,-0.278,0.302,9.821
0.08,-0.300,0.280,9.795
0.09,-0.322,0.258,9.809
0.10,-0.345,0.236,9.803
0.11,-0.367,0.214,9.817
0.12,-0.389,0.192,9.791
0.13,-0.411,0.170,9.805
0.14,-0.434,0.148,9.819
0.15,-0.456,0.126,9.793
0.16,-0.478,0.104,9.807
0.17,-0.500,0.082,9.801
0.18,-0.522,0.060,9.815
0.19,-0.545,0.038,9.789
0.20,-0.567,0.016,9.803
0.21,-0.589,-0.006,9.817
0.22,-0.611,-0.028,9.791
0.23,-0.634,-0.050,9.805
0.24,-0.656,-0.072,9.819
0.25,-0.678,-0.094,9.793
0.26,-0.700,-0.116,9.807
0.27,-0.722,-0.138,9.821
0.28,-0.745,-0.160,9.795
0.29,-0.767,-0.182,9.809
0.30,-0.789,-0.204,9.803
0.31,-0.811,-0.226,9.817
0.32,-0.834,-0.248,9.791
0.33,-0.856,-0.270,9.805
0.34,-0.878,-0.292,9.819
0.35,-0.900,-0.314,9.793
0.36,-0.922,-0.336,9.807
0.37,-0.945,-0.358,9.801
0.38,-0.967,-0.380,9.815
0.39,-0.989,-0.402,9.789
0.40,-1.011,-0.424,9.803
0.41,-1.034,-0.446,9.817
0.42,-1.056,-0.468,9.791
0.43,-1.078,-0.490,9.805
0.44,-1.100,-0.512,9.819
0.45,-1.122,-0.534,9.793
0.46,-1.145,-0.556,9.807
0.47,-1.167,-0.578,9.821
0.48,-1.189,-0.600,9.795
0.49,-1.211,-0.622,9.809
0.50,-1.234,-0.644,9.803
0.51,-1.256,-0.666,9.817
0.52,-1.278,-0.688,9.791
0.53,-1.300,-0.710,9.805
0.54,-1.322,-0.732,9.819
0.55,-1.345,-0.754,9.793
0.56,-1.367,-0.776,9.807
0.57,-1.389,-0.798,9.801
0.58,-1.411,-0.820,9.815
0.59,-1.434,-0.842,9.789
0.60,-1.456,-0.864,9.803
0.61,-1.478,-0.886,9.817
0.62,-1.500,-0.908,9.791
0.63,-1.522,-0.930,9.805
0.64,-1.545,-0.952,9.819
0.65,-1.567,-0.974,9.793
0.66,-1.589,-0.996,9.807
0.67,-1.611,-1.018,9.821
0.68,-1.634,-1.040,9.795
0.69,-1.656,-1.062,9.809
0.70,-1.678,-1.084,9.803
0.71,-1.700,-1.106,9.817
0.72,-1.722,-1.128,9.791
0.73,-1.745,-1.150,9.805
0.74,-1.767,-1.172,9.819
0.75,-1.789,-1.194,9.793
0.76,-1.811,-1.216,9.807
0.77,-1.834,-1.238,9.801
0.78,-1.856,-1.260,9.815
0.79,-1.878,-1.282,9.789
0.80,-1.900,-1.304,9.803
0.81,-1.922,-1.326,9.817
0.82,-1.945,-1.348,9.791
0.83,-1.967,-1.370,9.805
0.84,-1.989,-1.392,9.819
0.85,-2.011,-1.414,9.793
0.86,-2.034,-1.436,9.807
0.87,-2.056,-1.458,9.821
0.88,-2.078,-1.480,9.795
0.89,-2.100,-1.502,9.809
0.90,-2.122,-1.524,9.803
0.91,-2.145,-1.546,9.817
0.92,-2.167,-1.568,9.791
0.93,-2.189,-1.590,9.805
0.94,-2.211,-1.612,9.819
0.95,-2.234,-1.634,9.793
0.96,-2.256,-1.656,9.807
0.97,-2.278,-1.678,9.801
0.98,-2.300,-1.700,9.815
0.99,-2.322,-1.722,9.789
